profile,occupied_hz,mcs,fec,rf_snr_db,repeats,frames_ok,frame_success,median_gmi_bits_per_symbol,median_evm_rms,nominal_phy_bps,decoded_payload_bps,seed
SC_FTN_2K7,2700.0,2,LDPC-3/4,18.0,2,1,0.5,3.501783692478764,0.224472859453301,7500.0,1509.8914601679296,645
SC_FTN_2K7,2700.0,2,LDPC-3/4,24.0,2,2,1.0,3.9998808909385817,0.1069761429914448,7500.0,3019.782920335859,705
SC_FTN_2K7,2700.0,2,LDPC-3/4,30.0,2,2,1.0,4.0,0.05664669247524303,7500.0,3019.782920335859,797
SC_FTN_2K7,2700.0,3,LDPC-3/4,18.0,2,0,0.0,,0.2206307084920783,11250.0,0.0,644
SC_FTN_2K7,2700.0,3,LDPC-3/4,24.0,2,0,0.0,,0.10577053620364614,11250.0,0.0,704
SC_FTN_2K7,2700.0,3,LDPC-3/4,30.0,2,1,0.5,5.999999999999996,0.05790014708591654,11250.0,1758.8625411517726,796
SC_FTN_2K7,2700.0,6,LDPC-3/4,18.0,2,0,0.0,,0.2181226824827011,9375.0,0.0,641
SC_FTN_2K7,2700.0,6,LDPC-3/4,24.0,2,1,0.5,4.825723831920031,0.11232514588868649,9375.0,1667.2244584143639,709
SC_FTN_2K7,2700.0,6,LDPC-3/4,30.0,2,2,1.0,5.0,0.05648214193740453,9375.0,3334.4489168287278,793
SC_FTN_2K7,2700.0,16,LDPC-3/4,18.0,2,0,0.0,,0.21150076173428864,7500.0,0.0,663
SC_FTN_2K7,2700.0,16,LDPC-3/4,24.0,2,2,1.0,3.9820157980206785,0.10883222564960336,7500.0,3019.782920335859,723
SC_FTN_2K7,2700.0,16,LDPC-3/4,30.0,2,2,1.0,4.0,0.05780437278649746,7500.0,3019.782920335859,783
SC_FTN_2K7,2700.0,17,LDPC-3/4,18.0,2,0,0.0,,0.2081009046500933,11250.0,0.0,662
SC_FTN_2K7,2700.0,17,LDPC-3/4,24.0,2,0,0.0,,0.12537686531110181,11250.0,0.0,722
SC_FTN_2K7,2700.0,17,LDPC-3/4,30.0,2,2,1.0,5.976180313329605,0.05497229004405106,11250.0,3517.725082303545,782
SC_FTN_2K7,2700.0,20,LDPC-3/4,18.0,2,0,0.0,,0.22429340386076144,8062.5,0.0,659
SC_FTN_2K7,2700.0,20,LDPC-3/4,24.0,2,1,0.5,5.375,0.10194451084098535,8062.5,1509.8914601679296,727
SC_FTN_2K7,2700.0,20,LDPC-3/4,30.0,2,2,1.0,5.375,0.05446407219151085,8062.5,3019.782920335859,779
SC_FDE_FTN_2K7,2700.0,2,LDPC-3/4,18.0,2,1,0.5,3.501783692478767,0.22447285945330098,7500.0,1509.8914601679296,645
SC_FDE_FTN_2K7,2700.0,2,LDPC-3/4,24.0,2,2,1.0,3.9998808909385817,0.10697614299144476,7500.0,3019.782920335859,705
SC_FDE_FTN_2K7,2700.0,2,LDPC-3/4,30.0,2,2,1.0,4.0,0.056646692475243024,7500.0,3019.782920335859,797
SC_FDE_FTN_2K7,2700.0,3,LDPC-3/4,18.0,2,0,0.0,,0.2206307084920783,11250.0,0.0,644
SC_FDE_FTN_2K7,2700.0,3,LDPC-3/4,24.0,2,0,0.0,,0.10577053620364618,11250.0,0.0,704
SC_FDE_FTN_2K7,2700.0,3,LDPC-3/4,30.0,2,1,0.5,5.999999999999996,0.05790014708591657,11250.0,1758.8625411517726,796
SC_FDE_FTN_2K7,2700.0,6,LDPC-3/4,18.0,2,0,0.0,,0.2181226824827011,9375.0,0.0,641
SC_FDE_FTN_2K7,2700.0,6,LDPC-3/4,24.0,2,1,0.5,4.82572383192003,0.11232514588868633,9375.0,1667.2244584143639,709
SC_FDE_FTN_2K7,2700.0,6,LDPC-3/4,30.0,2,2,1.0,5.0,0.05648214193740448,9375.0,3334.4489168287278,793
SC_FDE_FTN_2K7,2700.0,16,LDPC-3/4,18.0,2,0,0.0,,0.21150076173428856,7500.0,0.0,663
SC_FDE_FTN_2K7,2700.0,16,LDPC-3/4,24.0,2,2,1.0,3.982015798020679,0.10883222564960332,7500.0,3019.782920335859,723
SC_FDE_FTN_2K7,2700.0,16,LDPC-3/4,30.0,2,2,1.0,4.0,0.05780437278649747,7500.0,3019.782920335859,783
SC_FDE_FTN_2K7,2700.0,17,LDPC-3/4,18.0,2,0,0.0,,0.20810090465009337,11250.0,0.0,662
